"symbol","timestamp","content","Positive","Negative","Neutral"
"ROST","2021-06-06 09:00:44+00:00","Ross Stores - $ROST 💰 QUOTE $ROST was DOWN ⬇ on Fri Jun 04 Closed at 119.47 USD for a -0.01% loss from previous close 📉 📉 📉 📊 ANALYSIS Ross Stores should be nationalized ☭ ☭ ☭",0.007708198390901089,0.9656792879104614,0.026612451300024986
"ROST","2021-06-18 17:48:18+00:00","$DBGI Once the LOI is finalized for Stateside Clothing should see a spike in the PPS  Stateside is available to buy on Amazon, Nordstrom Rack, Anthropologie, eBay  This to me is a great Acquisition for womans everyday clothing  $SFIX $TJX $ROST $AMZN $EBAY $JWN $KSS",0.7961446642875671,0.008326088078320026,0.19552920758724213
"ROST","2021-06-19 19:02:50+00:00","Ross Stores - $ROST 💰 QUOTE $ROST was DOWN ⬇ on Fri Jun 18 Closed at 115.26 USD for a -2.51% loss from previous close 📉 📉 📉 📊 ANALYSIS Ross Stores should be nationalized ☭ ☭ ☭",0.007446198258548975,0.9665912985801697,0.025962548330426216
"ROST","2021-06-21 12:31:00+00:00","$ROST. 🚀 Buy Long at $117.12 #investsy #investsySignals #SP500 #NASDAQ100  #Signals #StocksToWatch #stocks   #trading #stockmarkets #investment #ToTheMoon",0.044442784041166306,0.032699719071388245,0.9228575229644775
"ROST","2021-06-21 20:12:41+00:00","Biggest Gains in the $SPY : $APA +7.31% $HES +7.17% $EOG +7.16% Biggest Gains in the $QQQ : $ROST +3.60% $EXPE +3.06% $MAR +2.92%",0.8644620776176453,0.03352696821093559,0.10201090574264526
"ROST","2021-06-22 20:55:02+00:00","Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $AAPL $ARKK $ARKW $CDNS $DDOG $DGX $ENTG $EW $EXAS $EXPD $ICE $IFF $INFO $JNK $KMB $MDT $NET $NTRA $PII $ROST $TQQQ $TRU $U $XLK",0.1402227133512497,0.023389127105474472,0.8363881707191467
"ROST","2021-06-23 21:30:01+00:00","Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $A $ARKK $ARKW $CRSP $DDOG $DLTR $EW $EXAS $ICE $KMB $LMND $NET $NKE $PTON $ROST $TQQQ $U $Z",0.1324639618396759,0.0288426261395216,0.838693380355835
"ROST","2021-06-29 20:55:00+00:00","🎬 NEXT: #MarketOvertime with @NPetallides ▪️ @ScottConnor_TDA's Tuesday market takeaways ▪️ @kenwvanleeuwen's stock picks: $AAPL $ROST $JNJ ▪️ Mark Holden on valuations vs outlook ▪️ @uma_pattarkine talks ESG investing Stream live ⤵️",0.1104181557893753,0.02581803686916828,0.8637638092041016
"ROST","2021-06-30 14:10:57+00:00","$CHS SOLD 76 @ $6.12; -$27.23, -5.53% Peers: $TJX $ROST $BURL $SPY",0.12395890057086945,0.03052382357418537,0.8455172777175903
"ROST","2021-06-30 23:15:45+00:00","Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $AAPL $AGG $AMAT $BBY $CROX $DRI $EMB $ETN $EXPD $IFF $KMB $LQD $MXIM $NTES $QCOM $ROST $RSG $SI $SPLK $SPXL $SSO $STIP $TIP $UPRO $WM $WMT",0.1093064546585083,0.02805321104824543,0.8626403212547302
