"timestamp","content","symbol","sentiment_score"
"2021-06-06 09:00:44+00:00","Ross Stores negative  $ROST 💰 QUOTE $ROST was negative ⬇ on Fri Jun 04 Closed at 119.47 USD for a negative 0.01% loss from previous close 📉 📉 📉 📊 ANALYSIS Ross Stores should be nationalized ☭ ☭ ☭","ROST",-0.9246
"2021-06-18 17:48:18+00:00","$DBGI Once the LOI is finalized for Stateside Clothing should see a spike in the PPS  Stateside is available to positive on Amazon, Nordstrom Rack, Anthropologie, eBay  This to me is a great Acquisition for womans everyday clothing  $SFIX $TJX $ROST $AMZN $EBAY $JWN $KSS","ROST",0.8555
"2021-06-19 19:02:50+00:00","Ross Stores negative  $ROST 💰 QUOTE $ROST was negative ⬇ on Fri Jun 18 Closed at 115.26 USD for a negative 2.51% loss from previous close 📉 📉 📉 📊 ANALYSIS Ross Stores should be nationalized ☭ ☭ ☭","ROST",-0.9246
"2021-06-21 12:31:00+00:00","$ROST. 🚀 positive positive at $117.12 #investsy #investsySignals #SP500 #NASDAQ100  #Signals #StocksToWatch #stocks   #trading #stockmarkets #investment #ToTheMoon","ROST",0.802
"2021-06-21 20:12:41+00:00","Biggest Gains in the $SPY : $APA positive 7.31% $HES positive 7.17% $EOG positive 7.16% Biggest Gains in the $QQQ : $ROST positive 3.60% $EXPE positive 3.06% $MAR positive 2.92%","ROST",0.9786
"2021-06-22 20:55:02+00:00","Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $AAPL $ARKK $ARKW $CDNS $DDOG $DGX $ENTG $EW $EXAS $EXPD $ICE $IFF $INFO $JNK $KMB $MDT $NET $NTRA $PII $ROST $TQQQ $TRU $U $XLK","ROST",0.0
"2021-06-23 21:30:01+00:00","Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $A $ARKK $ARKW $CRSP $DDOG $DLTR $EW $EXAS $ICE $KMB $LMND $NET $NKE $PTON $ROST $TQQQ $U $Z","ROST",0.0
"2021-06-29 20:55:00+00:00","🎬 NEXT: #MarketOvertime with @NPetallides ▪️ @ScottConnor_TDA's Tuesday market takeaways ▪️ @kenwvanleeuwen's stock picks: $AAPL $ROST $JNJ ▪️ Mark Holden on valuations vs outlook ▪️ @uma_pattarkine talks ESG investing Stream live ⤵️","ROST",0.0
"2021-06-30 14:10:57+00:00","$CHS SOLD 76 @ $6.12; negative $27.23, negative 5.53% Peers: $TJX $ROST $BURL $SPY","ROST",-0.8126
"2021-06-30 23:15:45+00:00","Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $AAPL $AGG $AMAT $BBY $CROX $DRI $EMB $ETN $EXPD $IFF $KMB $LQD $MXIM $NTES $QCOM $ROST $RSG $SI $SPLK $SPXL $SSO $STIP $TIP $positiveRO $WM $WMT","ROST",0.0
"2021-07-01 21:08:38+00:00","Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $AAPL $ACWI $ALL $BBY $DRI $EW $FAS $IJJ $LEN $LMND $LYB $MMC $PAYX $ROST $SBUX $SPXL $TEL $positiveRO $VT $VTV $XBI $XLI $XLK $XLV","ROST",0.0
"2021-07-08 18:55:35+00:00","Paul Torresnegative Cohen $ROST","ROST",0.0
